route_id,service_id,trip_id,trip_headsign,shape_id
3VTA,APROCT2016,3APROCT16_IN_2VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_3VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_4VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_5VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_6VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_7VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_8VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_9VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_10VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_11VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_12VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_13VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_14VTA,Vineyard Haven,3INVTA
3VTA,APROCT2016,3APROCT16_IN_15VTA,Vineyard Haven,3INVTA

3VTA,APROCT2016,3APROCT16_OUT_1VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_2VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_3VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_4VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_5VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_6VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_7VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_8VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_9VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_10VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_11VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_12VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_13VTA,West Tisbury,3OUTVTA
3VTA,APROCT2016,3APROCT16_OUT_14VTA,West Tisbury,3OUTVTA
3VTA,SPRWKND2016,3SWKND16_IN_1VTA,Vineyard Haven,3INVTA
3VTA,SPRWKND2016,3SWKND16_IN_2VTA,Vineyard Haven,3INVTA
3VTA,SPRWKND2016,3SWKND16_IN_3VTA,Vineyard Haven,3INVTA
3VTA,HIGHDLY2016,3HDLY16_IN_1VTA,Vineyard Haven,3INVTA
3VTA,HIGHDLY2016,3HDLY16_IN_2VTA,Vineyard Haven,3INVTA
3VTA,HIGHDLY2016,3HDLY16_IN_3VTA,Vineyard Haven,3INVTA
3VTA,FALLWKND2016,3FWKND16_IN_1VTA,Vineyard Haven,3INVTA
3VTA,FALLWKND2016,3FWKND16_IN_2VTA,Vineyard Haven,3INVTA
3VTA,FALLWKND2016,3FWKND16_IN_3VTA,Vineyard Haven,3INVTA
3VTA,SPRWKND2016,3SWKND16_OUT_1VTA,West Tisbury,3OUTVTA
3VTA,SPRWKND2016,3SWKND16_OUT_2VTA,West Tisbury,3OUTVTA
3VTA,SPRWKND2016,3SWKND16_OUT_3VTA,West Tisbury,3OUTVTA
3VTA,HIGHDLY2016,3HDLY16_OUT_1VTA,West Tisbury,3OUTVTA
3VTA,HIGHDLY2016,3HDLY16_OUT_2VTA,West Tisbury,3OUTVTA
3VTA,HIGHDLY2016,3HDLY16_OUT_3VTA,West Tisbury,3OUTVTA
3VTA,FALLWKND2016,3FWKND16_OUT_1VTA,West Tisbury,3OUTVTA
3VTA,FALLWKND2016,3FWKND16_OUT_2VTA,West Tisbury,3OUTVTA
3VTA,FALLWKND2016,3FWKND16_OUT_3VTA,West Tisbury,3OUTVTA


4VTA,APROCT2016,4APROCT16_IN_1VTA,West Tisbury,4INVTA
4VTA,APROCT2016,4APROCT16_IN_2VTA,West Tisbury,4INVTA
4VTA,APROCT2016,4APROCT16_IN_3VTA,West Tisbury,4INVTA
4VTA,APROCT2016,4APROCT16_IN_4VTA,West Tisbury,4INVTA
4VTA,APROCT2016,4APROCT16_IN_5VTA,West Tisbury,4INVTA
4VTA,APROCT2016,4APROCT16_IN_6VTA,West Tisbury,4INVTA
4VTA,APROCT2016,4APROCT16_IN_7VTA,West Tisbury,4INVTA
4VTA,APROCT2016,4APROCT16_IN_8VTA,West Tisbury,4INVTA
4VTA,APROCT2016,4APROCT16_IN_9VTA,West Tisbury,4INVTA
4VTA,APROCT2016,4APROCT16_IN_10VTA,West Tisbury,4INVTA
4VTA,APROCT2016,4APROCT16_IN_11VTA,West Tisbury,4INVTA
4VTA,APROCT2016,4APROCT16_IN_12VTA,West Tisbury,4INVTA
4VTA,APROCT2016,4APROCT16_IN_13VTA,West Tisbury,4INVTA
4VTA,SPRWKND2016,4SWKND16_IN_1VTA,West Tisbury,4INVTA
4VTA,SPRWKND2016,4SWKND16_IN_2VTA,West Tisbury,4INVTA
4VTA,SPRWKND2016,4SWKND16_IN_3VTA,West Tisbury,4INVTA
4VTA,FALLWKND2016,4FWKND16_IN_1VTA,West Tisbury,4INVTA
4VTA,FALLWKND2016,4FWKND16_IN_2VTA,West Tisbury,4INVTA
