route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
CHAPPBOAT,CHAPPWINBOAT,CHAPPWIN2BOAT,Nantucket, , , 
LONGBOAT,LONGFALBOAT,LONG1BOAT, , , , 
LONGBOAT,LONGFALBOAT,LONG2BOAT, , , , 
LONGBOAT,LONGFALBOAT,LONG3BOAT, , , , 
LONGBOAT,LONGFALBOAT,LONG4BOAT, , , , 
LONGBOAT,LONGFALBOAT,LONG5BOAT, , , , 
LONGBOAT,LONGFALBOAT,LONG6BOAT, , , , 
LONGBOAT,LONGFALBOAT,LONG7BOAT, , , , 
LONGBOAT,LONGGWESUBOAT,LONG8BOAT, , , , 
LONGBOAT,LONGGWESUBOAT,LONG9BOAT, , , , 
LONGBOAT,LONGGWESUBOAT,LONG10BOAT, , , , 
LONGBOAT,LONGGWESUBOAT,LONG11BOAT, , , , 
LONGBOAT,LONGGWESUBOAT,LONG12BOAT, , , , 
LONGBOAT,LONGGWESUBOAT,LONG13BOAT, , , , 
LONGBOAT,LONGGWESUBOAT,LONG14BOAT, , , , 
LONGBOAT,LONGGWESUBOAT,LONG15BOAT, , , , 
LONGBOAT,LONGGWESUBOAT,LONG16BOAT, , , , 
LONGBOAT,LONGENDSUBOAT,LONG17BOAT, , , , 
LONGBOAT,LONGENDSUBOAT,LONG18BOAT, , , , 
BUMPKBOAT,BUMPKBOAT,BUMPK1BOAT, , , , 
BUMPKBOAT,BUMPKBOAT,BUMPK2BOAT, , , , 
BUMPKBOAT,BUMPKBOAT,BUMPK3BOAT, , , , 
BUMPKBOAT,BUMPKBOAT,BUMPK4BOAT, , , , 
CONNEBOAT,BUMPKBOAT,CONNE1BOAT, , , , 
CONNEBOAT,BUMPKBOAT,CONNE2BOAT,George's Island, , , 
CONNEBOAT,BUMPKBOAT,CONNE3BOAT, , , , 
CONNEBOAT,BUMPKBOAT,CONNE4BOAT,Spectacle Island, , , 
THOMPBOAT,THOMPBOAT,THOMP1BOAT,Thompson Island, , , 
THOMPBOAT,THOMPBOAT,THOMP2BOAT,Thompson Island, , , 
THOMPBOAT,THOMPBOAT,THOMP3BOAT,South Boston, , , 
THOMPBOAT,THOMPBOAT,THOMP4BOAT,South Boston, , , 
THOMPBOAT,THOMPBOAT,THOMP5BOAT,Spectacle Island, , , 
THOMPBOAT,THOMPBOAT,THOMP6BOAT,Spectacle Island, , , 
THOMPBOAT,THOMPBOAT,THOMP7BOAT,Spectacle Island, , , 
THOMPBOAT,THOMPBOAT,THOMP8BOAT,Thompson Island, , , 
THOMPBOAT,THOMPBOAT,THOMP9BOAT,Thompson Island, , , 
THOMPBOAT,THOMPBOAT,THOMP10BOAT,Thompson Island, , , 
NEWYOBOAT,NEFASTSUBOAT,NEFAST1BOAT,New York, , , 
NEWYOBOAT,NEFASTFRBOAT,NEFAST2BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSWESUBOAT,VINEY1BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSWESUBOAT,VINEY2BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSWESUBOAT,VINEY3BOAT,Quonset, , , 
VINEYFBOAT,QUONSWESUBOAT,VINEY4BOAT,Quonset, , , 
VINEYFBOAT,QUONSFRSUBOAT,VINEY5BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSFRSUBOAT,VINEY6BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSFRSUBOAT,VINEY7BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSFRSUBOAT,VINEY8BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSFRSUBOAT,VINEY9BOAT,Quonset, , , 
VINEYFBOAT,QUONSFRSUBOAT,VINEY10BOAT,Quonset, , , 
VINEYFBOAT,QUONSFRSUBOAT,VINEY11BOAT,Quonset, , , 
VINEYFBOAT,QUONSFRSUBOAT,VINEY12BOAT,Quonset, , , 
VINEYFBOAT,QUONSENDSUBOAT,VINEY13BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSENDSUBOAT,VINEY14BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSENDSUBOAT,VINEY15BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSENDSUBOAT,VINEY16BOAT,Quonset, , , 
VINEYFBOAT,QUONSENDSUBOAT,VINEY17BOAT,Quonset, , , 
VINEYFBOAT,QUONSENDSUBOAT,VINEY18BOAT,Quonset, , , 
VINEYFBOAT,QUONSWEFABOAT,VINEY19BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSWEFABOAT,VINEY20BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSWEFABOAT,VINEY21BOAT,Quonset, , , 
